LMT1_x,LMT1_y,LMT1_z,RMT1_x,RMT1_y,RMT1_z,LMT5_x,LMT5_y,LMT5_z,RMT5_x,RMT5_y,RMT5_z,LHeel_x,LHeel_y,LHeel_z,RHeel_x,RHeel_y,RHeel_z
-501.4191949,-949.5137855,73.15357774,170.4930238,-870.7420817,0.466511969,-529.4208108,-944.2412516,-39.30425218,187.6870843,-821.0763606,101.4513,-548.0208425,-745.266694,5.903163719,21.64829466,-719.1168503,50.69124146
-522.3853689,-934.4864018,81.70566035,200.0041307,-882.5278684,-0.791195095,-547.0389841,-931.3688146,-31.61306504,211.9789966,-832.3400906,100.6880468,-559.7907163,-730.6873733,7.692133913,40.36620336,-741.5654612,47.30058754
-543.6561417,-917.4895922,90.60574072,229.062896,-893.3469097,-2.362251646,-564.4595493,-917.3307206,-23.52509037,235.536556,-843.4584254,99.76256337,-571.0548817,-715.1043394,8.747786672,59.4876396,-763.6557647,43.37533668
-564.649469,-898.6435345,98.95755337,257.3254803,-903.1183626,-4.152502438,-581.5893728,-902.0469208,-15.75997029,258.1751511,-854.4159246,98.74354985,-581.4698413,-698.6350548,8.819385595,78.77560302,-785.1455924,39.08931128
-584.9229677,-878.3865543,106.0839501,284.4682456,-912.0247931,-5.934052767,-598.1674131,-885.5699273,-8.944904696,279.6713598,-865.5164679,97.86485164,-590.9206403,-681.511097,8.02637323,97.99302017,-805.9878893,34.69417642
-603.4075917,-856.8270209,111.5341194,310.3248132,-919.4983765,-7.810234743,-613.7015185,-867.7269204,-3.504486616,300.0959147,-876.4856418,97.09696843,-599.0067509,-663.6024799,6.386054755,116.9312678,-825.7500493,30.6303094
-619.3618231,-834.354445,115.1602918,334.4716363,-925.5144081,-9.557003788,-627.596524,-848.5696425,0.317915193,319.4293409,-887.0361044,96.52502335,-605.5664085,-644.9014961,4.126635555,135.3074571,-844.0190717,27.31612383
-632.3443137,-811.090192,117.2343798,356.6771122,-929.3370089,-11.43802181,-639.4231272,-828.1092744,2.696635583,337.6837408,-897.0575444,96.06795478,-610.2311066,-625.3118633,1.438763225,152.7564596,-860.5291294,25.29521633
-642.5679862,-787.3722097,117.8692728,376.2977127,-931.3680551,-13.30297647,-648.6484387,-806.4052922,3.591438253,354.8027747,-906.0436103,95.58635782,-612.2890449,-604.8218272,-1.167485036,168.8879653,-874.8577718,24.84505387
-650.1120921,-763.568802,117.0913695,392.8191693,-932.5086347,-14.90656294,-654.7669457,-783.6205352,2.920821896,370.3336592,-913.475239,95.0587892,-611.331223,-583.4802152,-3.222184335,183.2649811,-886.5514988,25.62085393
-655.4233023,-739.440534,115.8200952,406.0940167,-932.0296317,-16.67747895,-658.2796167,-760.0679523,1.692952555,383.9277459,-920.2943402,94.36839606,-607.2515449,-561.7334814,-4.641066163,195.4014436,-896.1469875,27.915829
-658.8108227,-715.2417004,113.7897559,415.7333627,-930.503387,-18.78475812,-658.9034056,-736.2138482,-0.310261856,394.7846533,-926.7642399,93.05180721,-600.2143529,-539.9796758,-5.62918143,204.7533174,-903.7517157,30.60406871
-659.4325408,-691.5849828,111.106198,421.5895783,-929.5861648,-20.62610329,-656.2634318,-712.3332133,-2.99078398,402.1672574,-932.3445879,91.51403913,-590.5339304,-518.2891704,-5.653165884,210.9017492,-909.3691564,32.9406673
-656.9870941,-668.4957481,108.1247946,423.8672673,-929.9692451,-22.24717259,-650.7538792,-688.9910812,-5.891616325,405.5638267,-937.5026027,89.86205794,-578.820458,-497.1420305,-5.625311383,213.5631152,-913.6884725,34.09630713
-653.3559164,-646.1935673,104.3229739,422.7817855,-929.5753699,-23.6551337,-642.389302,-666.307405,-9.403982024,405.0463007,-943.5412979,87.92735785,-564.4125366,-476.8978567,-4.485314844,212.7042238,-917.2379358,34.50579332
-646.6252618,-624.4981314,100.2896753,418.5689309,-931.0235743,-24.74463488,-631.5557716,-644.4648775,-12.99297937,400.5716339,-949.367779,86.16032923,-548.22784,-457.5063534,-3.843032614,208.4250576,-920.265636,33.48955035
-636.9238613,-603.9812591,96.02174962,411.3052551,-934.0410147,-25.5034209,-618.3795585,-623.6655337,-16.79355991,392.1892679,-954.8271801,84.78144028,-530.762989,-438.9322035,-3.475417341,200.7926346,-922.548371,31.23910865
-625.5687884,-584.2470469,91.24286737,401.6173115,-937.9929682,-25.99529476,-603.0735316,-604.0968834,-20.82349581,380.9969879,-960.4791848,83.68334734,-511.0639599,-421.8676456,-3.271061024,190.670556,-924.5541835,28.6712502
-611.187439,-565.8454439,86.43622493,388.9662724,-942.5264808,-26.64838103,-586.0236477,-585.77636,-25.04582108,366.7906945,-965.1503466,82.69792255,-490.4945972,-405.7261881,-4.150700262,177.6307382,-926.2737796,25.7032935
-594.9281899,-548.7216481,81.00200115,373.9626327,-947.2970587,-27.34528182,-567.344046,-568.7463419,-29.88863244,350.0902965,-968.9629934,81.83466411,-468.1880737,-391.0982129,-5.612252519,162.2706852,-927.525889,22.28427651
-577.2336781,-533.0331596,75.02369206,356.0747658,-953.3119754,-28.19725887,-546.7300612,-553.3602377,-35.04618051,330.6036872,-970.2293427,81.4824777,-443.9615377,-378.3423182,-6.961699557,144.1903436,-928.1839675,18.05145632
